trial,method,delayMs,finalMode,finalDistancePx,hiddenDurationMs,backwardTravelAfterCommandPx,controllerWrites
matrix-one-frame-plain-1,command-after-hidden-one-frame,80,following,0,1,0,43
matrix-one-frame-plain-2,command-after-hidden-one-frame,80,following,0,1,0,43
matrix-one-frame-plain-delay0,command-after-hidden-one-frame,0,following,0,14,0,42
matrix-one-frame-plain-delay250,command-after-hidden-one-frame,250,following,0,14,0,45
matrix-one-frame-plain-native,native-hidden-one-frame,80,following,0,14,0,45
matrix-one-frame-plain-no-flush,command-after-hidden-one-frame-no-flush,80,following,0,1,0,43
matrix-one-frame-plain-sparse-delay0,command-after-hidden-one-frame-no-flush-sparse,0,following,0,1,0,42
matrix-one-frame-plain-sparse-delay250,command-after-hidden-one-frame-no-flush-sparse,250,following,0,14,0,44
matrix-one-frame-plain-sparse,command-after-hidden-one-frame-no-flush-sparse,80,following,0,1,0,43
matrix-one-frame-reconcile-1,command-after-hidden-one-frame-reconcile,80,following,0,2,0,43
matrix-one-frame-reconcile-2,command-after-hidden-one-frame-reconcile,80,following,0,1,0,43
matrix-one-frame-reconcile-delay0,command-after-hidden-one-frame-reconcile,0,following,0,1,0,41
matrix-one-frame-reconcile-delay250,command-after-hidden-one-frame-reconcile,250,following,0,14,0,44
matrix-one-frame-reconcile-native,native-hidden-one-frame-reconcile,80,following,0,13,0,46
matrix-one-frame-reconcile-no-flush,command-after-hidden-one-frame-no-flush-reconcile,80,following,0,2,0,43
matrix-one-frame-reconcile-sparse,command-after-hidden-one-frame-no-flush-sparse-reconcile,80,following,0,1,0,43
matrix-sync-plain-1,command-after-hidden-sync,80,detached,194,1,0,0
matrix-sync-plain-2,command-after-hidden-sync,80,detached,195,1,0,0
matrix-sync-plain-delay0,command-after-hidden-sync,0,detached,153,0,0,0
matrix-sync-plain-delay250,command-after-hidden-sync,250,detached,285,1,0,0
matrix-sync-plain-native,native-hidden-sync,80,detached,388,1,0,0
matrix-sync-plain-no-flush,command-after-hidden-sync-no-flush,80,detached,488,0,293,0
matrix-sync-plain-sparse-delay0,command-after-hidden-sync-no-flush-sparse,0,detached,484,1,331,0
matrix-sync-plain-sparse-delay250,command-after-hidden-sync-no-flush-sparse,250,detached,484,0,199,0
matrix-sync-plain-sparse,command-after-hidden-sync-no-flush-sparse,80,detached,484,0,289,0
matrix-sync-reconcile-1,command-after-hidden-sync-reconcile,80,following,0,1,0,44
matrix-sync-reconcile-2,command-after-hidden-sync-reconcile,80,following,0,1,0,44
matrix-sync-reconcile-delay0,command-after-hidden-sync-reconcile,0,following,0,0,0,43
matrix-sync-reconcile-delay250,command-after-hidden-sync-reconcile,250,following,0,0,0,45
matrix-sync-reconcile-native,native-hidden-sync-reconcile,80,following,0,1,0,45
matrix-sync-reconcile-no-flush,command-after-hidden-sync-no-flush-reconcile,80,detached,391,1,208,0
matrix-sync-reconcile-sparse,command-after-hidden-sync-no-flush-sparse-reconcile,80,detached,484,0,289,1
matrix-two-frames-plain-1,command-after-hidden-two-frames,80,following,0,18,0,43
matrix-two-frames-plain-2,command-after-hidden-two-frames,80,following,0,19,0,43
matrix-two-frames-plain-delay0,command-after-hidden-two-frames,0,following,0,15,0,42
matrix-two-frames-plain-delay250,command-after-hidden-two-frames,250,following,0,30,0,43
matrix-two-frames-plain-native,native-hidden-two-frames,80,following,0,30,0,46
matrix-two-frames-plain-no-flush,command-after-hidden-two-frames-no-flush,80,following,0,19,0,43
matrix-two-frames-plain-sparse-delay0,command-after-hidden-two-frames-no-flush-sparse,0,following,0,15,0,42
matrix-two-frames-plain-sparse-delay250,command-after-hidden-two-frames-no-flush-sparse,250,following,0,30,0,44
matrix-two-frames-plain-sparse,command-after-hidden-two-frames-no-flush-sparse,80,following,0,18,0,43
matrix-two-frames-reconcile-1,command-after-hidden-two-frames-reconcile,80,following,0,18,0,43
matrix-two-frames-reconcile-2,command-after-hidden-two-frames-reconcile,80,following,0,32,0,43
matrix-two-frames-reconcile-delay0,command-after-hidden-two-frames-reconcile,0,following,0,15,0,42
matrix-two-frames-reconcile-delay250,command-after-hidden-two-frames-reconcile,250,following,0,30,0,45
matrix-two-frames-reconcile-native,native-hidden-two-frames-reconcile,80,following,0,86,0,47
matrix-two-frames-reconcile-no-flush,command-after-hidden-two-frames-no-flush-reconcile,80,following,0,17,0,41
matrix-two-frames-reconcile-sparse,command-after-hidden-two-frames-no-flush-sparse-reconcile,80,following,0,18,0,43
