trial,method,delayMs,finalMode,finalDistancePx,driftAfterInterventionPx,backwardTravelAfterCommandOrInterventionPx,hiddenDurationMs,postInterventionTouchMoves,wheelCount
command-1000-1,command,1000,detached,480,-40,-40,,0,0
command-3000-1,command,3000,following,0,484,0,,0,0
command-80-1,command,80,detached,475,-281,-272,,0,0
command-80-2,command,80,detached,484,-289,-279,,0,0
command-after-100ms-1,command-after-hidden-100ms,80,following,0,195,0,101,0,0
command-after-sync-1,command-after-hidden-sync,80,detached,195,0,0,1,0,0
command-after-sync-reconcile-1,command-after-hidden-sync-reconcile,80,following,0,195,0,1,0,0
command-after-sync-reconcile-2,command-after-hidden-sync-reconcile,80,following,0,194,0,1,0,0
command-after-timer-1,command-after-hidden-timer,80,detached,195,0,0,1,0,0
command-after-two-frames-1,command-after-hidden-two-frames,80,following,0,195,0,19,0,0
command-after-two-frames-2,command-after-hidden-two-frames,80,following,0,197,0,18,0,0
command-after-two-frames-3,command-after-hidden-two-frames,80,following,0,195,0,17,0,0
command-during-two-frames-1,command-during-hidden-two-frames,80,detached,205,-10,0,18,0,0
command-ignore-scroll-1,command-ignore-scroll,80,following,71,124,-834,,0,0
command-ignore-scroll-2,command-ignore-scroll,80,following,70,125,-1033,,0,0
command-two-frames-delay0,command-after-hidden-two-frames,0,following,0,153,0,15,0,0
command-two-frames-delay250,command-after-hidden-two-frames,250,following,0,285,0,30,0,0
command-two-frames-no-flush-1,command-after-hidden-two-frames-no-flush,80,following,0,195,0,18,0,0
hidden-one-frame-1,hidden-one-frame,80,detached,205,-10,0,2,0,0
hidden-sync-1,hidden-sync,80,detached,195,0,0,1,0,0
hidden-sync-no-flush-1,hidden-sync-no-flush,80,detached,485,-290,-290,1,0,0
hidden-timer-1,hidden-timer,80,detached,209,-9,0,2,0,0
hidden-two-frames-1,hidden-two-frames,80,detached,195,0,0,18,0,0
initial,baseline,80,detached,489,-289,-289,,0,0
native-tap-1,manual-command,80,detached,483,-288,-288,,0,0
native-tap-hidden-1,native-hidden-two-frames,80,following,0,381,0,28,0,0
native-tap-hidden-2,native-hidden-two-frames,80,following,0,381,0,24,0,0
new-gesture-during-catchup-1,native-hidden-two-frames,80,detached,686,-309,-484,27,7,0
new-gesture-during-catchup-2,native-hidden-two-frames,80,detached,674,-291,-476,27,7,0
prevent-default-1,prevent-default,80,detached,484,-289,-279,,0,0
same-position-1,same-position,80,detached,484,-289,-279,,0,0
saved-probe-takeover,command-after-hidden-two-frames,80,following,0,195,0,17,0,0
touch-action-1,touch-action,80,detached,487,-292,-282,,0,0
video-native-baseline,manual-command,80,detached,484,-289,-289,,0,0
video-native-takeover,native-hidden-two-frames,80,following,0,381,0,30,0,0
